anio,estacion,periodo_analisis,categoria,comunidad,porcentaje_promedio,porcentaje_min,porcentaje_max,dias_muestreados
2024,Winter,Anochecer Crítico,Antropogénico,VARILLAL,10.26,1.86,44.17,21
2024,Winter,Anochecer Crítico,Ave,12 DE abril,5.54,0.63,12.67,8
2024,Winter,Anochecer Crítico,Ave,PAUJIL,6.7,0.55,20.94,8
2024,Winter,Anochecer Crítico,Ave,QUISTOCOCHA,4.79,0.21,11.46,12
2024,Winter,Anochecer Crítico,Ave,SAN LUCAS,5.21,0.56,10.5,11
2024,Winter,Anochecer Crítico,Ave,VARILLAL,19.4,0.41,71.67,20
2024,Winter,Anochecer Crítico,Insecto,12 DE abril,35.53,26.46,46.33,8
2024,Winter,Anochecer Crítico,Insecto,PAUJIL,37.9,28.54,53.72,8
2024,Winter,Anochecer Crítico,Insecto,QUISTOCOCHA,17.83,2.92,33.33,12
2024,Winter,Anochecer Crítico,Insecto,SAN LUCAS,26.5,16.11,37.17,11
2024,Winter,Anochecer Crítico,Insecto,VARILLAL,23.6,0.69,63.64,19
2024,Winter,Anochecer Crítico,Mamífero,12 DE abril,0.58,0.33,1.0,3
2024,Winter,Anochecer Crítico,Mamífero,PAUJIL,01.09,0.83,1.36,2
2024,Winter,Anochecer Crítico,Mamífero,QUISTOCOCHA,0.94,0.42,1.46,4
2024,Winter,Anochecer Crítico,Mamífero,VARILLAL,1.59,0.14,4.17,7
2024,Winter,Anochecer Crítico,Ruido ambiental,12 DE abril,51.47,35.5,66.04,8
2024,Winter,Anochecer Crítico,Ruido ambiental,PAUJIL,65.63,10.74,100.0,15
2024,Winter,Anochecer Crítico,Ruido ambiental,QUISTOCOCHA,49.21,10.83,99.79,14
2024,Winter,Anochecer Crítico,Ruido ambiental,SAN LUCAS,64.71,35.83,100.0,15
2024,Winter,Anochecer Crítico,Ruido ambiental,VARILLAL,45.23,0.83,88.33,21
2024,Spring,Anochecer Crítico,Anfibio,12 DE abril,0.3,0.3,0.3,1
2024,Spring,Anochecer Crítico,Antropogénico,12 DE abril,22.12,22.12,22.12,1
2024,Spring,Anochecer Crítico,Insecto,12 DE abril,1.14,1.14,1.14,1
2024,Spring,Anochecer Crítico,Ruido ambiental,12 DE abril,76.44,76.44,76.44,1
2025,Autumn,Amanecer Crítico,Anfibio,12 DE abril,0.2,0.19,0.21,2
2025,Autumn,Amanecer Crítico,Anfibio,PAUJIL,2.13,0.28,5.83,3
2025,Autumn,Amanecer Crítico,Anfibio,SAN LUCAS,0.42,0.42,0.42,1
2025,Autumn,Amanecer Crítico,Anfibio,VARILLAL,0.17,0.17,0.17,1
2025,Autumn,Amanecer Crítico,Antropogénico,12 DE abril,0.97,0.21,3.0,6
2025,Autumn,Amanecer Crítico,Antropogénico,PAUJIL,4.61,0.33,17.22,6
2025,Autumn,Amanecer Crítico,Antropogénico,SAN LUCAS,10.29,0.42,40.83,5
2025,Autumn,Amanecer Crítico,Antropogénico,VARILLAL,6.3,2.67,9.0,5
2025,Autumn,Amanecer Crítico,Ave,12 DE abril,4.76,1.5,6.17,4
2025,Autumn,Amanecer Crítico,Ave,PAUJIL,09.04,3.0,14.17,5
2025,Autumn,Amanecer Crítico,Ave,SAN LUCAS,5.7,0.83,18.33,6
2025,Autumn,Amanecer Crítico,Ave,VARILLAL,5.52,1.48,11.0,5
2025,Autumn,Amanecer Crítico,Insecto,12 DE abril,6.5,0.21,12.5,5
2025,Autumn,Amanecer Crítico,Insecto,PAUJIL,25.25,0.33,41.67,6
2025,Autumn,Amanecer Crítico,Insecto,SAN LUCAS,24.94,2.92,68.5,6
2025,Autumn,Amanecer Crítico,Insecto,VARILLAL,16.8,10.83,27.04,5
2025,Autumn,Amanecer Crítico,Mamífero,12 DE abril,0.17,0.17,0.17,1
2025,Autumn,Amanecer Crítico,Mamífero,VARILLAL,0.81,0.19,2.33,5
2025,Autumn,Amanecer Crítico,Ruido ambiental,12 DE abril,90.35,83.17,99.76,6
2025,Autumn,Amanecer Crítico,Ruido ambiental,PAUJIL,67.03,36.67,100.0,7
2025,Autumn,Amanecer Crítico,Ruido ambiental,SAN LUCAS,60.72,28.35,91.25,6
2025,Autumn,Amanecer Crítico,Ruido ambiental,VARILLAL,78.95,64.81,100.0,7
2025,Autumn,Anochecer Crítico,Anfibio,12 DE abril,0.58,0.17,1.0,2
2025,Autumn,Anochecer Crítico,Anfibio,SAN LUCAS,0.42,0.42,0.42,1
2025,Autumn,Anochecer Crítico,Anfibio,VARILLAL,1.68,0.17,7.33,6
2025,Autumn,Anochecer Crítico,Antropogénico,12 DE abril,01.08,0.83,1.33,2
2025,Autumn,Anochecer Crítico,Antropogénico,PAUJIL,1.98,0.28,6.39,7
2025,Autumn,Anochecer Crítico,Antropogénico,SAN LUCAS,7.36,3.33,13.33,5
2025,Autumn,Anochecer Crítico,Antropogénico,VARILLAL,22.78,17.33,33.33,7
2025,Autumn,Anochecer Crítico,Ave,12 DE abril,5.61,3.83,8.33,3
2025,Autumn,Anochecer Crítico,Ave,PAUJIL,9.47,4.17,19.17,7
2025,Autumn,Anochecer Crítico,Ave,SAN LUCAS,6.75,2.92,14.58,6
2025,Autumn,Anochecer Crítico,Ave,VARILLAL,4.3,2.0,11.33,7
