localidad,anio,estacion,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,2024,Autumn,Creciente,3,Bird,0.56
12 DE ABRIL,2024,Autumn,Creciente,3,Insect,72.67
12 DE ABRIL,2024,Autumn,Creciente,4,Amphibian,0.44
12 DE ABRIL,2024,Autumn,Creciente,4,Anthropogenic,0.11
12 DE ABRIL,2024,Autumn,Creciente,4,Bird,4.11
12 DE ABRIL,2024,Autumn,Creciente,4,Insect,65.67
12 DE ABRIL,2024,Autumn,Creciente,5,Amphibian,1.89
12 DE ABRIL,2024,Autumn,Creciente,5,Anthropogenic,6.67
12 DE ABRIL,2024,Autumn,Creciente,5,Bird,1.22
12 DE ABRIL,2024,Autumn,Creciente,5,Insect,66.56
12 DE ABRIL,2024,Autumn,Creciente,6,Anthropogenic,3.22
12 DE ABRIL,2024,Autumn,Creciente,6,Bird,8.89
12 DE ABRIL,2024,Autumn,Creciente,6,Insect,77.11
12 DE ABRIL,2024,Autumn,Creciente,7,Anthropogenic,2.78
12 DE ABRIL,2024,Autumn,Creciente,7,Bird,3.67
12 DE ABRIL,2024,Autumn,Creciente,7,Insect,85.78
12 DE ABRIL,2024,Autumn,Creciente,8,Anthropogenic,1.44
12 DE ABRIL,2024,Autumn,Creciente,8,Bird,9.78
12 DE ABRIL,2024,Autumn,Creciente,8,Insect,71.33
12 DE ABRIL,2024,Autumn,Creciente,9,Anthropogenic,4.44
12 DE ABRIL,2024,Autumn,Creciente,9,Bird,7.67
12 DE ABRIL,2024,Autumn,Creciente,9,Insect,63.11
12 DE ABRIL,2024,Autumn,Creciente,10,Anthropogenic,4.44
12 DE ABRIL,2024,Autumn,Creciente,10,Bird,3.89
12 DE ABRIL,2024,Autumn,Creciente,10,Insect,67.22
12 DE ABRIL,2024,Autumn,Creciente,10,Mammal,0.22
12 DE ABRIL,2024,Autumn,Creciente,11,Anthropogenic,2.11
12 DE ABRIL,2024,Autumn,Creciente,11,Bird,3.44
12 DE ABRIL,2024,Autumn,Creciente,11,Insect,70.11
12 DE ABRIL,2024,Autumn,Creciente,11,Mammal,0.33
12 DE ABRIL,2024,Autumn,Creciente,12,Anthropogenic,4.33
12 DE ABRIL,2024,Autumn,Creciente,12,Bird,7.11
12 DE ABRIL,2024,Autumn,Creciente,12,Insect,59.0
12 DE ABRIL,2024,Autumn,Creciente,12,Mammal,0.11
12 DE ABRIL,2024,Autumn,Creciente,13,Anthropogenic,6.89
12 DE ABRIL,2024,Autumn,Creciente,13,Bird,8.89
12 DE ABRIL,2024,Autumn,Creciente,13,Insect,71.56
12 DE ABRIL,2024,Autumn,Creciente,14,Anthropogenic,10.33
12 DE ABRIL,2024,Autumn,Creciente,14,Bird,9.56
12 DE ABRIL,2024,Autumn,Creciente,14,Insect,60.0
12 DE ABRIL,2024,Autumn,Creciente,14,Mammal,0.56
12 DE ABRIL,2024,Autumn,Creciente,15,Amphibian,0.11
12 DE ABRIL,2024,Autumn,Creciente,15,Anthropogenic,10.11
12 DE ABRIL,2024,Autumn,Creciente,15,Bird,9.67
12 DE ABRIL,2024,Autumn,Creciente,15,Insect,85.56
12 DE ABRIL,2024,Autumn,Creciente,15,Mammal,0.33
12 DE ABRIL,2024,Autumn,Creciente,16,Amphibian,4.56
12 DE ABRIL,2024,Autumn,Creciente,16,Anthropogenic,5.0
12 DE ABRIL,2024,Autumn,Creciente,16,Bird,5.56
12 DE ABRIL,2024,Autumn,Creciente,16,Insect,82.0
