localidad,hora_dia,primary_category,promedio_clips_hora
SAN LUCAS,12,Amphibian,1.82
SAN LUCAS,12,Anthropogenic,41.92
SAN LUCAS,12,Bird,72.73
SAN LUCAS,12,Insect,37.43
SAN LUCAS,12,Mammal,0.88
SAN LUCAS,13,Amphibian,3.55
SAN LUCAS,13,Anthropogenic,43.04
SAN LUCAS,13,Bird,59.86
SAN LUCAS,13,Insect,39.55
SAN LUCAS,13,Mammal,1.86
SAN LUCAS,14,Amphibian,3.57
SAN LUCAS,14,Anthropogenic,43.71
SAN LUCAS,14,Bird,45.57
SAN LUCAS,14,Insect,56.16
SAN LUCAS,14,Mammal,1.22
SAN LUCAS,15,Amphibian,13.06
SAN LUCAS,15,Anthropogenic,38.22
SAN LUCAS,15,Bird,39.9
SAN LUCAS,15,Insect,72.65
SAN LUCAS,15,Mammal,0.94
SAN LUCAS,16,Amphibian,12.27
SAN LUCAS,16,Anthropogenic,45.0
SAN LUCAS,16,Bird,23.65
SAN LUCAS,16,Insect,90.12
SAN LUCAS,16,Mammal,0.27
SAN LUCAS,17,Amphibian,8.14
SAN LUCAS,17,Anthropogenic,45.71
SAN LUCAS,17,Bird,21.33
SAN LUCAS,17,Insect,101.78
SAN LUCAS,17,Mammal,0.76
SAN LUCAS,18,Amphibian,6.53
SAN LUCAS,18,Anthropogenic,45.96
SAN LUCAS,18,Bird,3.86
SAN LUCAS,18,Insect,98.22
SAN LUCAS,18,Mammal,0.16
SAN LUCAS,19,Amphibian,4.67
SAN LUCAS,19,Anthropogenic,35.16
SAN LUCAS,19,Bird,0.45
SAN LUCAS,19,Insect,119.43
SAN LUCAS,19,Mammal,0.39
SAN LUCAS,20,Amphibian,10.16
SAN LUCAS,20,Anthropogenic,40.96
SAN LUCAS,20,Bird,1.29
SAN LUCAS,20,Insect,99.43
SAN LUCAS,20,Mammal,0.16
SAN LUCAS,21,Amphibian,14.04
SAN LUCAS,21,Anthropogenic,40.27
SAN LUCAS,21,Bird,0.98
SAN LUCAS,21,Insect,86.31
SAN LUCAS,21,Mammal,0.16
SAN LUCAS,22,Amphibian,11.86
SAN LUCAS,22,Anthropogenic,36.24
SAN LUCAS,22,Bird,2.73
SAN LUCAS,22,Insect,92.2
SAN LUCAS,22,Mammal,1.43
SAN LUCAS,23,Amphibian,8.14
SAN LUCAS,23,Anthropogenic,28.35
SAN LUCAS,23,Bird,4.41
SAN LUCAS,23,Insect,100.84
SAN LUCAS,23,Mammal,0.96
VARILLAL,0,Amphibian,7.42
VARILLAL,0,Anthropogenic,33.19
VARILLAL,0,Bird,5.65
VARILLAL,0,Insect,133.4
VARILLAL,0,Mammal,0.61
VARILLAL,1,Amphibian,6.84
VARILLAL,1,Anthropogenic,36.53
VARILLAL,1,Bird,5.44
VARILLAL,1,Insect,112.6
VARILLAL,1,Mammal,0.53
VARILLAL,2,Amphibian,11.18
VARILLAL,2,Anthropogenic,35.74
VARILLAL,2,Bird,6.68
VARILLAL,2,Insect,123.77
VARILLAL,2,Mammal,0.19
VARILLAL,3,Amphibian,9.33
VARILLAL,3,Anthropogenic,39.68
VARILLAL,3,Bird,10.79
VARILLAL,3,Insect,92.89
VARILLAL,3,Mammal,0.79
VARILLAL,4,Amphibian,1.4
VARILLAL,4,Anthropogenic,45.11
VARILLAL,4,Bird,25.09
VARILLAL,4,Insect,94.93
VARILLAL,4,Mammal,1.63
VARILLAL,5,Amphibian,2.02
VARILLAL,5,Anthropogenic,57.46
VARILLAL,5,Bird,29.26
VARILLAL,5,Insect,77.0
VARILLAL,5,Mammal,2.18
VARILLAL,6,Amphibian,1.16
VARILLAL,6,Anthropogenic,44.26
VARILLAL,6,Bird,51.35
VARILLAL,6,Insect,61.91
VARILLAL,6,Mammal,1.4
VARILLAL,7,Amphibian,1.68
VARILLAL,7,Anthropogenic,47.25
VARILLAL,7,Bird,50.0
VARILLAL,7,Insect,59.61
VARILLAL,7,Mammal,1.88
VARILLAL,8,Amphibian,2.18
VARILLAL,8,Anthropogenic,54.28
VARILLAL,8,Bird,44.88
VARILLAL,8,Insect,67.32
VARILLAL,8,Mammal,1.47
VARILLAL,9,Amphibian,2.12
VARILLAL,9,Anthropogenic,49.58
