localidad,ciclo_hidrologico,hora_dia,primary_category,promedio_clips_hora
PAUJIL,Vaciante,5,Anthropogenic,20.33
PAUJIL,Vaciante,5,Bird,18.14
PAUJIL,Vaciante,5,Insect,78.48
PAUJIL,Vaciante,5,Mammal,1.05
PAUJIL,Vaciante,6,Amphibian,2.43
PAUJIL,Vaciante,6,Anthropogenic,17.81
PAUJIL,Vaciante,6,Bird,55.24
PAUJIL,Vaciante,6,Insect,70.52
PAUJIL,Vaciante,6,Mammal,0.29
PAUJIL,Vaciante,7,Amphibian,2.71
PAUJIL,Vaciante,7,Anthropogenic,27.14
PAUJIL,Vaciante,7,Bird,37.43
PAUJIL,Vaciante,7,Insect,77.19
PAUJIL,Vaciante,7,Mammal,0.81
PAUJIL,Vaciante,8,Amphibian,1.05
PAUJIL,Vaciante,8,Anthropogenic,15.38
PAUJIL,Vaciante,8,Bird,60.43
PAUJIL,Vaciante,8,Insect,61.86
PAUJIL,Vaciante,8,Mammal,0.67
PAUJIL,Vaciante,9,Amphibian,0.76
PAUJIL,Vaciante,9,Anthropogenic,30.57
PAUJIL,Vaciante,9,Bird,56.05
PAUJIL,Vaciante,9,Insect,49.67
PAUJIL,Vaciante,9,Mammal,0.43
PAUJIL,Vaciante,10,Amphibian,0.19
PAUJIL,Vaciante,10,Anthropogenic,34.14
PAUJIL,Vaciante,10,Bird,61.38
PAUJIL,Vaciante,10,Insect,45.57
PAUJIL,Vaciante,10,Mammal,0.43
PAUJIL,Vaciante,11,Amphibian,0.33
PAUJIL,Vaciante,11,Anthropogenic,34.0
PAUJIL,Vaciante,11,Bird,46.29
PAUJIL,Vaciante,11,Insect,49.48
PAUJIL,Vaciante,11,Mammal,0.86
PAUJIL,Vaciante,12,Amphibian,0.76
PAUJIL,Vaciante,12,Anthropogenic,35.57
PAUJIL,Vaciante,12,Bird,50.1
PAUJIL,Vaciante,12,Insect,50.24
PAUJIL,Vaciante,12,Mammal,0.95
PAUJIL,Vaciante,13,Amphibian,1.9
PAUJIL,Vaciante,13,Anthropogenic,30.48
PAUJIL,Vaciante,13,Bird,35.62
PAUJIL,Vaciante,13,Insect,64.71
PAUJIL,Vaciante,13,Mammal,0.67
PAUJIL,Vaciante,14,Amphibian,3.76
PAUJIL,Vaciante,14,Anthropogenic,24.52
PAUJIL,Vaciante,14,Bird,31.76
PAUJIL,Vaciante,14,Insect,82.1
PAUJIL,Vaciante,14,Mammal,0.81
