localidad,ciclo_hidrologico,temporada_base,hora_dia,primary_category,promedio_clips_hora
12 DE ABRIL,Vaciante,2024,8,Mammal,7.88
12 DE ABRIL,Vaciante,2024,9,Anthropogenic,22.13
12 DE ABRIL,Vaciante,2024,9,Bird,27.0
12 DE ABRIL,Vaciante,2024,9,Insect,21.88
12 DE ABRIL,Vaciante,2024,9,Mammal,4.25
12 DE ABRIL,Vaciante,2024,10,Anthropogenic,16.38
12 DE ABRIL,Vaciante,2024,10,Bird,29.38
12 DE ABRIL,Vaciante,2024,10,Insect,25.38
12 DE ABRIL,Vaciante,2024,10,Mammal,2.88
12 DE ABRIL,Vaciante,2024,11,Anthropogenic,18.63
12 DE ABRIL,Vaciante,2024,11,Bird,21.5
12 DE ABRIL,Vaciante,2024,11,Insect,30.75
12 DE ABRIL,Vaciante,2024,11,Mammal,2.63
12 DE ABRIL,Vaciante,2024,12,Amphibian,0.25
12 DE ABRIL,Vaciante,2024,12,Anthropogenic,17.13
12 DE ABRIL,Vaciante,2024,12,Bird,22.25
12 DE ABRIL,Vaciante,2024,12,Insect,47.13
12 DE ABRIL,Vaciante,2024,12,Mammal,9.88
12 DE ABRIL,Vaciante,2024,13,Anthropogenic,12.0
12 DE ABRIL,Vaciante,2024,13,Bird,16.38
12 DE ABRIL,Vaciante,2024,13,Insect,28.75
12 DE ABRIL,Vaciante,2024,13,Mammal,4.13
12 DE ABRIL,Vaciante,2024,14,Amphibian,1.0
12 DE ABRIL,Vaciante,2024,14,Anthropogenic,20.13
12 DE ABRIL,Vaciante,2024,14,Bird,19.63
12 DE ABRIL,Vaciante,2024,14,Insect,47.0
12 DE ABRIL,Vaciante,2024,14,Mammal,7.13
12 DE ABRIL,Vaciante,2024,15,Amphibian,0.13
12 DE ABRIL,Vaciante,2024,15,Anthropogenic,13.88
12 DE ABRIL,Vaciante,2024,15,Bird,10.88
12 DE ABRIL,Vaciante,2024,15,Insect,39.88
12 DE ABRIL,Vaciante,2024,15,Mammal,7.25
12 DE ABRIL,Vaciante,2024,16,Amphibian,5.38
12 DE ABRIL,Vaciante,2024,16,Anthropogenic,18.38
12 DE ABRIL,Vaciante,2024,16,Bird,27.5
12 DE ABRIL,Vaciante,2024,16,Insect,75.13
12 DE ABRIL,Vaciante,2024,16,Mammal,0.63
